time,Channel A Last (V),Channel B Last (V)
1681199948,1.039,0.123
1681199948,1.036,0.121
1681199948,1.035,0.119
1681199948,1.036,0.115
1681199948,1.034,0.113
1681199948,1.035,0.118
1681199948,1.034,0.12
1681199948,1.034,0.126
1681199948,1.034,0.116
1681199948,1.037,0.121
1681199948,1.035,0.115
1681199948,1.035,0.12
1681199948,1.035,0.117
1681199948,1.038,0.12
1681199948,1.037,0.115
1681199948,1.038,0.114
1681199948,1.034,0.117
1681199949,1.038,0.112
1681199949,1.037,0.117
1681199949,1.037,0.121
1681199949,1.037,0.12
1681199949,1.036,0.124
1681199949,1.034,0.117
1681199949,1.034,0.128
1681199949,1.039,0.122
1681199949,1.035,0.124
1681199949,1.036,0.114
1681199949,1.032,0.126
1681199949,1.035,0.118
1681199949,1.034,0.12
1681199949,1.035,0.117
1681199949,1.032,0.126
1681199949,1.035,0.119
1681199949,1.033,0.117
1681199949,1.033,0.12
1681199949,1.034,0.118
1681199949,1.036,0.124
1681199950,1.038,0.119
1681199950,1.038,0.119
1681199950,1.037,0.117
1681199950,1.035,0.114
1681199950,1.04,0.12
1681199950,1.035,0.122
1681199950,1.038,0.129
1681199950,1.037,0.114
1681199950,1.038,0.117
1681199950,1.035,0.122
1681199950,1.039,0.123
1681199950,1.034,0.114
1681199950,1.035,0.121
1681199950,1.036,0.119
1681199950,1.034,0.121
1681199950,1.037,0.122
1681199950,1.034,0.13
1681199950,1.034,0.116
1681199950,1.038,0.127
1681199950,1.036,0.118
1681199951,1.034,0.115
1681199951,1.033,0.121
1681199951,1.037,0.111
1681199951,1.036,0.122
1681199951,1.032,0.117
1681199951,1.036,0.119
1681199951,1.038,0.111
1681199951,1.033,0.125
1681199951,1.034,0.11
1681199951,1.035,0.11
1681199951,1.035,0.117
1681199951,1.036,0.126
1681199951,1.034,0.123
1681199951,1.037,0.123
1681199951,1.035,0.113
1681199951,1.035,0.115
1681199951,1.034,0.113
1681199951,1.035,0.115
1681199951,1.036,0.122
1681199951,1.035,0.126
1681199952,1.035,0.115
1681199952,1.034,0.122
1681199952,1.034,0.119
1681199952,1.032,0.122
1681199952,1.036,0.123
1681199952,1.037,0.126
1681199952,1.038,0.115
1681199952,1.033,0.118
1681199952,1.037,0.124
1681199952,1.035,0.119
1681199952,1.036,0.11
1681199952,1.036,0.114
1681199952,1.036,0.116
1681199952,1.035,0.115
1681199952,1.036,0.125
1681199952,1.035,0.118
1681199952,1.035,0.115
1681199952,1.033,0.115
1681199952,1.036,0.113
1681199952,1.034,0.118
1681199953,1.034,0.113
1681199953,1.035,0.117
1681199953,1.034,0.122
1681199953,1.038,0.121
1681199953,1.035,0.117
1681199953,1.035,0.123
1681199953,1.036,0.122
1681199953,1.035,0.105
1681199953,1.036,0.114
1681199953,1.037,0.112
1681199953,1.035,0.12
1681199953,1.034,0.116
1681199953,1.035,0.125
1681199953,1.034,0.12
